inventory_id,unit_number,block,unit_type,status
INV-00128,1,IB-1,plot,available
INV-00131,149,IB-1,plot,available
INV-00132,150,IB-1,plot,available
INV-00133,151,IB-1,plot,available
INV-00134,152,IB-1,plot,available
INV-00135,153,IB-1,plot,available
INV-00136,154,IB-1,plot,available
INV-00137,154-A,IB-1,plot,available
INV-00138,157,IB-1,plot,available
INV-00139,163,IB-1,plot,available
INV-00140,164,IB-1,plot,available
INV-00141,165,IB-1,plot,available
INV-00142,166,IB-1,plot,available
INV-00143,167,IB-1,plot,available
INV-00144,168,IB-1,plot,available
INV-00145,169,IB-1,plot,available
INV-00146,170,IB-1,plot,available
INV-00147,171,IB-1,plot,available
INV-00148,172,IB-1,plot,available
INV-00149,173,IB-1,plot,available
INV-00150,174,IB-1,plot,available
INV-00151,175,IB-1,plot,available
INV-00152,176,IB-1,plot,available
INV-00153,199,IB-1,plot,available
INV-00129,2,IB-1,plot,available
INV-00154,200,IB-1,plot,available
INV-00155,201,IB-1,plot,available
INV-00156,202,IB-1,plot,available
INV-00157,203,IB-1,plot,available
INV-00158,204,IB-1,plot,available
INV-00159,205,IB-1,plot,available
INV-00160,206,IB-1,plot,available
INV-00161,207,IB-1,plot,available
INV-00162,208,IB-1,plot,available
INV-00163,209,IB-1,plot,available
INV-00164,210,IB-1,plot,available
INV-00165,211,IB-1,plot,available
INV-00166,212,IB-1,plot,available
INV-00167,213,IB-1,plot,available
INV-00168,214,IB-1,plot,available
INV-00169,215,IB-1,plot,available
INV-00170,216,IB-1,plot,available
INV-00171,217,IB-1,plot,available
INV-00172,218,IB-1,plot,available
INV-00173,241,IB-1,plot,available
INV-00174,242,IB-1,plot,available
INV-00175,243,IB-1,plot,available
INV-00176,244,IB-1,plot,available
INV-00177,245,IB-1,plot,available
INV-00178,246,IB-1,plot,available
INV-00179,247,IB-1,plot,available
INV-00180,247-A,IB-1,plot,available
INV-00181,248,IB-1,plot,available
INV-00182,248-A,IB-1,plot,available
INV-00183,249,IB-1,plot,available
INV-00184,250,IB-1,plot,available
INV-00185,251,IB-1,plot,available
INV-00186,252,IB-1,plot,available
INV-00187,253,IB-1,plot,available
INV-00188,254,IB-1,plot,available
