id,inventory_id,project_id,unit_number,unit_type,block,area_marla,rate_per_marla,status,factor_details,notes,created_at,updated_at,plot_coordinates,plot_offset,is_manual_plot
680addce-09ac-4cec-aa9b-95961c1dddff,INV-00014,f98b3053-9a60-4752-9ea9-164abdb7d691,5,plot,IB-2,6.07,1627500.00,available,Boulevard,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
534510f0-5870-4873-90d2-e39ace8ff439,INV-00015,f98b3053-9a60-4752-9ea9-164abdb7d691,6,plot,IB-2,7.08,1627500.00,available,Boulevard,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
92275839-5f91-4ed6-8e17-dafe0ed1f548,INV-00016,f98b3053-9a60-4752-9ea9-164abdb7d691,7,plot,IB-2,6.07,1705000.00,available,Boulevard+Park,Factor: 10%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
5af676ee-e848-4511-ba2e-6c68636cc302,INV-00017,f98b3053-9a60-4752-9ea9-164abdb7d691,8,plot,IB-2,6.07,1705000.00,available,Boulevard+Park,Factor: 10%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
a730fe8d-6133-4835-a6f6-22294b512948,INV-00018,f98b3053-9a60-4752-9ea9-164abdb7d691,9,plot,IB-2,6.07,1705000.00,available,Boulevard+Park,Factor: 10%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
12e34006-4120-439d-a50f-d147613ee0d2,INV-00019,f98b3053-9a60-4752-9ea9-164abdb7d691,10,plot,IB-2,7.08,1705000.00,available,Boulevard+Park,Factor: 10%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
fa19fe06-74fc-45d0-85bc-4d9041f6bc9c,INV-00020,f98b3053-9a60-4752-9ea9-164abdb7d691,11,plot,IB-2,6.98,1627500.00,available,Boulevard,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
4c211e58-14ef-44ba-82bf-a4ab5cac8196,INV-00021,f98b3053-9a60-4752-9ea9-164abdb7d691,12,plot,IB-2,6.07,1627500.00,available,Boulevard,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
86f93eca-edfb-4260-94fd-bd89cd7fd9e4,INV-00022,f98b3053-9a60-4752-9ea9-164abdb7d691,13,plot,IB-2,6.07,1627500.00,available,Boulevard,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
8a10f851-4632-440e-afaa-1e62c808911b,INV-00023,f98b3053-9a60-4752-9ea9-164abdb7d691,14,plot,IB-2,6.07,1627500.00,available,Boulevard,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
